,s,a,r,s1
0,[-0.46026397  0.        ],[-0.06536365],-0.00042724061600551977,[-0.46083415 -0.0005702 ]
1,[-0.46083415 -0.0005702 ],[0.6894822],-0.04753857207563215,[-4.6083808e-01 -3.9383599e-06]
2,[-4.6083808e-01 -3.9383599e-06],[0.24082065],-0.00579945836776119,[-4.6094871e-01 -1.1063644e-04]
3,[-4.6094871e-01 -1.1063644e-04],[-0.16933876],-0.002867561657314255,[-0.46178046 -0.00083176]
4,[-0.46178046 -0.00083176],[0.37825775],-0.014307892654323952,[-0.46250582 -0.00072536]
5,[-0.46250582 -0.00072536],[-0.00272804],-7.442229449594607e-07,[-0.4636909  -0.00118508]
6,[-0.4636909  -0.00118508],[0.5745766],-0.03301382879840844,[-0.46446103 -0.00077011]
7,[-0.46446103 -0.00077011],[0.20448732],-0.004181506557893045,[-0.46536562 -0.00090459]
8,[-0.46536562 -0.00090459],[0.15761721],-0.0024843185311183903,[-0.4664683 -0.0011027]
9,[-0.4664683 -0.0011027],[0.27721107],-0.007684597736421495,[-0.46758157 -0.00111326]
10,[-0.46758157 -0.00111326],[0.20329404],-0.004132846620046849,[-0.46880805 -0.00122648]
11,[-0.46880805 -0.00122648],[-0.06299591],-0.0003968484757933766,[-0.4705381  -0.00173005]
12,[-0.4705381  -0.00173005],[-0.40505463],-0.01640692523520251,[-0.47327203 -0.00273391]
13,[-0.47327203 -0.00273391],[-0.42149752],-0.0177660162556581,[-0.4770142  -0.00374218]
14,[-0.4770142  -0.00374218],[-0.14150298],-0.0020023092335023306,[-0.4813169  -0.00430268]
15,[-0.4813169  -0.00430268],[0.08054805],-0.0006487988039737048,[-0.48581502 -0.00449812]
16,[-0.48581502 -0.00449812],[0.35666573],-0.012721044329624932,[-0.49006093 -0.00424589]
17,[-0.49006093 -0.00424589],[-0.3264867],-0.01065935696738194,[-0.49504766 -0.00498673]
18,[-0.49504766 -0.00498673],[0.3746904],-0.014039290595009392,[-0.49968624 -0.00463857]
19,[-0.49968624 -0.00463857],[-0.41228408],-0.01699781594994967,[-0.5051224  -0.00543619]
20,[-0.5051224  -0.00543619],[-0.60782653],-0.03694530917065073,[-0.51160884 -0.00648643]
21,[-0.51160884 -0.00648643],[0.02790332],-7.78595178019259e-05,[-0.5181433  -0.00653448]
22,[-0.5181433  -0.00653448],[0.1502192],-0.0022565808662022846,[-0.52449334 -0.00635006]
23,[-0.52449334 -0.00635006],[0.4554143],-0.02074021802693551,[-0.5301536  -0.00566023]
24,[-0.5301536  -0.00566023],[-0.65215206],-0.042530231126966106,[-0.53674287 -0.0065893 ]
25,[-0.53674287 -0.0065893 ],[0.3016765],-0.009100871775041241,[-0.5427811  -0.00603823]
26,[-0.5427811  -0.00603823],[-0.47772056],-0.02282169321505059,[-0.54939216 -0.00661103]
27,[-0.54939216 -0.00661103],[-0.2707063],-0.007328189867622826,[-0.556216   -0.00682383]
28,[-0.556216   -0.00682383],[0.02197719],-4.8299671340146234e-05,[-0.5627626  -0.00654662]
29,[-0.5627626  -0.00654662],[0.47979307],-0.02302013916962551,[-0.5682965  -0.00553388]
30,[-0.5682965  -0.00553388],[0.56172323],-0.03155329896710555,[-0.57265353 -0.00435707]
31,[-0.57265353 -0.00435707],[-0.2603013],-0.006775676258698482,[-0.5770345  -0.00438093]
32,[-0.5770345  -0.00438093],[0.44274282],-0.019602120869444663,[-0.58035225 -0.00331777]
33,[-0.58035225 -0.00331777],[-0.27622473],-0.007630010278889188,[-0.5836608  -0.00330851]
34,[-0.5836608  -0.00330851],[-0.4989134],-0.02489145880093844,[-0.5872696  -0.00360885]
35,[-0.5872696  -0.00360885],[-0.14675164],-0.002153604449637214,[-0.5906239  -0.00335434]
36,[-0.5906239  -0.00335434],[0.2909515],-0.00846527697672741,[-0.5930425 -0.0024186]
37,[-0.5930425 -0.0024186],[0.21927214],-0.004808026992782289,[-0.5946151  -0.00157263]
38,[-0.5946151  -0.00157263],[-0.46114695],-0.021265651015995958,[-0.59635085 -0.00173575]
39,[-0.59635085 -0.00173575],[-0.42212045],-0.017818567593521097,[-0.59817845 -0.00182761]
40,[-0.59817845 -0.00182761],[-0.5002316],-0.025023167729911224,[-0.6002017  -0.00202326]
41,[-0.6002017  -0.00202326],[0.21925998],-0.004807493766344351,[-0.60132664 -0.00112489]
42,[-0.60132664 -0.00112489],[0.33338106],-0.011114292902347245,[-6.013738e-01 -4.713279e-05]
43,[-6.013738e-01 -4.713279e-05],[-0.36334294],-0.013201809263452803,[-6.0138792e-01 -1.4112839e-05]
44,[-6.0138792e-01 -1.4112839e-05],[0.42944717],-0.018442487531865483,[-0.60017973  0.0012082 ]
45,[-0.60017973  0.0012082 ],[0.02415931],-5.836723683074752e-05,[-0.59836596  0.00181375]
46,[-0.59836596  0.00181375],[-0.00109118],-1.1906786632209788e-07,[-0.5959978   0.00236818]
47,[-0.5959978   0.00236818],[-0.39474648],-0.015582478534529189,[-0.593683    0.00231479]
48,[-0.593683    0.00231479],[-0.28693825],-0.00823335593502783,[-0.5912768   0.00240615]
49,[-0.5912768   0.00240615],[0.1727655],-0.0029847915707307496,[-0.5881074   0.00316941]
50,[-0.5881074   0.00316941],[0.19343281],-0.003741625118072989,[-0.58416706  0.00394036]
51,[-0.58416706  0.00394036],[0.23401606],-0.005476351672599833,[-0.5794239   0.00474315]
52,[-0.5794239   0.00474315],[0.10327148],-0.001066499948501587,[-0.57410914  0.00531479]
53,[-0.57410914  0.00531479],[0.42245305],-0.01784665759437445,[-0.5677833   0.00632585]
54,[-0.5677833   0.00632585],[-0.30868953],-0.009528922881117197,[-0.5615901   0.00619323]
55,[-0.5615901   0.00619323],[0.04098058],-0.00016794077296822252,[-0.5550511   0.00653902]
56,[-0.5550511   0.00653902],[-0.21497387],-0.0046213763466941065,[-0.548599   0.0064521]
57,[-0.548599   0.0064521],[0.27462864],-0.007542088948048331,[-0.54154766  0.00705137]
58,[-0.54154766  0.00705137],[-0.01631176],-2.6607366818609536e-05,[-0.5343862   0.00716145]
59,[-0.5343862   0.00716145],[0.03354013],-0.00011249402977142609,[-0.5270936   0.00729265]
60,[-0.5270936   0.00729265],[-0.08023393],-0.0006437483770596942,[-0.5198951   0.00719851]
61,[-0.5198951   0.00719851],[-0.09509623],-0.0009043293056620882,[-0.512867    0.00702809]
62,[-0.512867    0.00702809],[0.27796698],-0.007726563983874258,[-0.5055024   0.00736457]
63,[-0.5055024   0.00736457],[0.12090588],-0.0014618230889936969,[-0.49809214  0.00741027]
64,[-0.49809214  0.00741027],[-0.00118577],-1.4060618838129813e-07,[-0.49087477  0.00721738]
