,s,a,r,s1
0,[ 0.0344143   0.00697895 -0.01017955 -0.04899393],1,1.0,[ 0.04549926  0.16677485 -0.03700862 -0.28226155]
1,[ 0.04549926  0.16677485 -0.03700862 -0.28226155],0,1.0,[ 0.04883476 -0.02780022 -0.04265385 -0.00147687]
2,[ 0.04883476 -0.02780022 -0.04265385 -0.00147687],0,1.0,[ 0.04827875 -0.22228532 -0.04268339  0.277449  ]
3,[ 0.04827875 -0.22228532 -0.04268339  0.277449  ],0,1.0,[ 0.04383304 -0.41677317 -0.03713441  0.55636996]
4,[ 0.04383304 -0.41677317 -0.03713441  0.55636996],1,1.0,[ 0.03549758 -0.22115009 -0.02600702  0.25222263]
5,[ 0.03549758 -0.22115009 -0.02600702  0.25222263],0,1.0,[ 0.01872949 -0.1878391   0.02111126  0.2679643 ]
6,[ 0.01872949 -0.1878391   0.02111126  0.2679643 ],0,1.0,[ 0.0149727  -0.3832559   0.02647055  0.5672304 ]
7,[ 0.0149727  -0.3832559   0.02647055  0.5672304 ],0,1.0,[ 0.00730759 -0.578739    0.03781515  0.8681337 ]
8,[ 0.00730759 -0.578739    0.03781515  0.8681337 ],0,1.0,[-0.00426719 -0.77435446  0.05517783  1.1724622 ]
9,[-0.00426719 -0.77435446  0.05517783  1.1724622 ],0,1.0,[-0.01975428 -0.9701486   0.07862707  1.4819205 ]
10,[-0.01975428 -0.9701486   0.07862707  1.4819205 ],0,1.0,[ 0.04944636 -0.18076311  0.04229498  0.2697384 ]
11,[ 0.04944636 -0.18076311  0.04229498  0.2697384 ],0,1.0,[ 0.0458311  -0.3764623   0.04768975  0.5754557 ]
12,[ 0.0458311  -0.3764623   0.04768975  0.5754557 ],1,1.0,[ 0.03830186 -0.1820402   0.05919886  0.29816958]
13,[ 0.03830186 -0.1820402   0.05919886  0.29816958],1,1.0,[0.03466105 0.01219012 0.06516226 0.02472876]
14,[0.03466105 0.01219012 0.06516226 0.02472876],1,1.0,[ 0.03490485  0.20632     0.06565683 -0.24670391]
15,[ 0.03490485  0.20632     0.06565683 -0.24670391],0,1.0,[ 0.02091056 -0.18943448 -0.03058004  0.268802  ]
16,[ 0.02091056 -0.18943448 -0.03058004  0.268802  ],0,1.0,[ 0.01712188 -0.384107   -0.025204    0.5516851 ]
17,[ 0.01712188 -0.384107   -0.025204    0.5516851 ],1,1.0,[ 0.00943974 -0.1886403  -0.01417029  0.251169  ]
18,[ 0.00943974 -0.1886403  -0.01417029  0.251169  ],1,1.0,[ 0.00566693  0.00668111 -0.00914691 -0.04594964]
19,[ 0.00566693  0.00668111 -0.00914691 -0.04594964],0,1.0,[ 0.00580055 -0.18830849 -0.01006591  0.24383338]
20,[ 0.00580055 -0.18830849 -0.01006591  0.24383338],0,1.0,[-0.01648264 -0.16987264 -0.00121461  0.30984193]
21,[-0.01648264 -0.16987264 -0.00121461  0.30984193],1,1.0,[-0.01988009  0.02526659  0.00498222  0.01677618]
22,[-0.01988009  0.02526659  0.00498222  0.01677618],0,1.0,[-0.01937476 -0.16992646  0.00531775  0.3110269 ]
23,[-0.01937476 -0.16992646  0.00531775  0.3110269 ],0,1.0,[-0.02277329 -0.36512378  0.01153828  0.60538214]
24,[-0.02277329 -0.36512378  0.01153828  0.60538214],0,1.0,[-0.03007576 -0.56040514  0.02364593  0.9016769 ]
25,[-0.03007576 -0.56040514  0.02364593  0.9016769 ],0,1.0,[-0.01917488 -0.22327511  0.01139431  0.25683832]
26,[-0.01917488 -0.22327511  0.01139431  0.25683832],0,1.0,[-0.02364038 -0.41855785  0.01653108  0.5530933 ]
27,[-0.02364038 -0.41855785  0.01653108  0.5530933 ],0,1.0,[-0.03201154 -0.613908    0.02759294  0.8509384 ]
