,s,a,r,s1
0,[-0.03981185  0.02178123 -0.00221528 -0.01573752],1,1.0,[-0.01538673  0.17129502 -0.04306783 -0.27082947]
1,[-0.01538673  0.17129502 -0.04306783 -0.27082947],0,1.0,[-0.01196083 -0.02318674 -0.04848442  0.00796465]
2,[-0.01196083 -0.02318674 -0.04848442  0.00796465],1,1.0,[-0.01242456  0.17259581 -0.04832513 -0.2996129 ]
3,[-0.01242456  0.17259581 -0.04832513 -0.2996129 ],0,1.0,[-0.00897264 -0.02180521 -0.05431738 -0.02255386]
4,[-0.00897264 -0.02180521 -0.05431738 -0.02255386],0,1.0,[-0.00940875 -0.21610782 -0.05476846  0.25250876]
5,[-0.00940875 -0.21610782 -0.05476846  0.25250876],1,1.0,[-0.01373091 -0.02024833 -0.04971829 -0.05693385]
6,[-0.01373091 -0.02024833 -0.04971829 -0.05693385],1,1.0,[-0.01413587  0.17554994 -0.05085696 -0.3648795 ]
7,[-0.01413587  0.17554994 -0.05085696 -0.3648795 ],0,1.0,[-0.01062487 -0.01881376 -0.05815455 -0.08865639]
8,[-0.01062487 -0.01881376 -0.05815455 -0.08865639],0,1.0,[-0.01100115 -0.213056   -0.05992768  0.18512662]
9,[-0.01100115 -0.213056   -0.05992768  0.18512662],1,1.0,[-0.01526227 -0.01713008 -0.05622515 -0.12584288]
10,[-0.01526227 -0.01713008 -0.05622515 -0.12584288],0,1.0,[-0.01560487 -0.21140336 -0.05874201  0.14858505]
11,[-0.01560487 -0.21140336 -0.05874201  0.14858505],0,1.0,[-0.01983294 -0.4056371  -0.0557703   0.42217287]
12,[-0.01983294 -0.4056371  -0.0557703   0.42217287],1,1.0,[-0.02794568 -0.20977119 -0.04732685  0.11244285]
13,[-0.02794568 -0.20977119 -0.04732685  0.11244285],0,1.0,[-0.0321411  -0.40418416 -0.04507799  0.3898269 ]
14,[-0.0321411  -0.40418416 -0.04507799  0.3898269 ],0,1.0,[-0.04022479 -0.5986383  -0.03728145  0.6679633 ]
15,[-0.04022479 -0.5986383  -0.03728145  0.6679633 ],0,1.0,[-0.05219755 -0.7932225  -0.02392219  0.9486787 ]
16,[-0.05219755 -0.7932225  -0.02392219  0.9486787 ],0,1.0,[-0.068062   -0.98801434 -0.00494861  1.2337503 ]
17,[-0.068062   -0.98801434 -0.00494861  1.2337503 ],0,1.0,[-0.08782229 -1.1830723   0.01972639  1.5248789 ]
18,[-0.08782229 -1.1830723   0.01972639  1.5248789 ],1,1.0,[-0.11148374 -0.988194    0.05022397  1.2384175 ]
19,[-0.11148374 -0.988194    0.05022397  1.2384175 ],1,1.0,[-0.13124761 -0.7937519   0.07499232  0.96188164]
20,[-0.13124761 -0.7937519   0.07499232  0.96188164],0,1.0,[-0.14712265 -0.9897972   0.09422995  1.2771502 ]
21,[-0.14712265 -0.9897972   0.09422995  1.2771502 ],0,1.0,[-0.16691859 -1.1859857   0.11977296  1.59779   ]
22,[-0.16691859 -1.1859857   0.11977296  1.59779   ],1,1.0,[-0.1906383  -0.99246967  0.15172876  1.3447247 ]
23,[-0.1906383  -0.99246967  0.15172876  1.3447247 ],1,1.0,[-0.21048771 -0.7995463   0.17862324  1.1031016 ]
24,[-0.21048771 -0.7995463   0.17862324  1.1031016 ],1,1.0,[-0.22647862 -0.6071654   0.20068528  0.87135804]
25,[-0.22647862 -0.6071654   0.20068528  0.87135804],1,1.0,[-0.23862194 -0.41525522  0.21811244  0.64787644]
26,[-0.23862194 -0.41525522  0.21811244  0.64787644],1,1.0,[-0.03599622  0.157167   -0.0188611  -0.3328777 ]
27,[-0.03599622  0.157167   -0.0188611  -0.3328777 ],0,1.0,[-0.03285288 -0.03768148 -0.02551865 -0.04620177]
28,[-0.03285288 -0.03768148 -0.02551865 -0.04620177],1,1.0,[-0.03360651  0.15779692 -0.02644269 -0.34682557]
29,[-0.03360651  0.15779692 -0.02644269 -0.34682557],1,1.0,[-0.03045057  0.3532848  -0.0333792  -0.64772815]
30,[-0.03045057  0.3532848  -0.0333792  -0.64772815],1,1.0,[-0.02338487  0.54885554 -0.04633376 -0.95073247]
31,[-0.02338487  0.54885554 -0.04633376 -0.95073247],0,1.0,[-0.01240776  0.3543868  -0.06534841 -0.6729597 ]
32,[-0.01240776  0.3543868  -0.06534841 -0.6729597 ],1,1.0,[-0.00532003  0.5503533  -0.07880761 -0.9854807 ]
33,[-0.00532003  0.5503533  -0.07880761 -0.9854807 ],1,1.0,[ 0.00568704  0.74643725 -0.09851722 -1.3018394 ]
34,[ 0.00568704  0.74643725 -0.09851722 -1.3018394 ],1,1.0,[ 0.02061578  0.9426614  -0.12455401 -1.6236656 ]
35,[ 0.02061578  0.9426614  -0.12455401 -1.6236656 ],0,1.0,[ 0.03946901  0.7492063  -0.15702732 -1.3722551 ]
36,[ 0.03946901  0.7492063  -0.15702732 -1.3722551 ],0,1.0,[ 0.05445314  0.5563573  -0.18447243 -1.1325172 ]
37,[ 0.05445314  0.5563573  -0.18447243 -1.1325172 ],0,1.0,[ 0.06558029  0.3640652  -0.20712276 -0.9029008 ]
38,[ 0.06558029  0.3640652  -0.20712276 -0.9029008 ],0,1.0,[ 0.07286159  0.17225944 -0.22518077 -0.6818011 ]
39,[ 0.07286159  0.17225944 -0.22518077 -0.6818011 ],0,1.0,[-0.03920642 -0.1803394  -0.01509849  0.25250876]
40,[-0.03920642 -0.1803394  -0.01509849  0.25250876],1,1.0,[-0.04281321  0.01499487 -0.01004831 -0.04489802]
41,[-0.04281321  0.01499487 -0.01004831 -0.04489802],0,1.0,[-0.04251331 -0.17998157 -0.01094627  0.2445977 ]
42,[-0.04251331 -0.17998157 -0.01094627  0.2445977 ],0,1.0,[-0.04611294 -0.37494546 -0.00605432  0.53380793]
43,[-0.04611294 -0.37494546 -0.00605432  0.53380793],0,1.0,[-0.05361186 -0.56998175  0.00462184  0.82457703]
