,s,a,r,s1
500,[-0.48297155  0.0013915 ],[0.7121406],-0.05071442623047382,[-0.47713605  0.00072626]
501,[-0.47713605  0.00072626],[0.67493254],-0.045553393282603244,[-0.47574472  0.00139132]
502,[-0.47574472  0.00139132],[0.78460616],-0.061560682432233095,[-0.47353417  0.00221055]
503,[-0.47353417  0.00221055],[-0.7187679],-0.05166272673228037,[-0.47277585  0.00075833]
504,[-0.47277585  0.00075833],[0.77479523],-0.060030765494420636,[-0.47123504  0.00154082]
505,[-0.47123504  0.00154082],[0.38353795],-0.01471013576569682,[-0.46951002  0.00172502]
506,[-0.46951002  0.00172502],[0.34348965],-0.011798513753547013,[-0.46767366  0.00183636]
507,[-0.46767366  0.00183636],[0.1671368],-0.002793471100710954,[-0.46600407  0.00166959]
508,[-0.46600407  0.00166959],[0.49474135],-0.024476900380785427,[-0.4640222   0.00198189]
509,[-0.4640222   0.00198189],[-0.49173632],-0.02418046110048602,[-0.46322235  0.00079984]
510,[-0.46322235  0.00079984],[-0.4461803],-0.019907687244551744,[-4.6354213e-01 -3.1978302e-04]
511,[-4.6354213e-01 -3.1978302e-04],[-0.9405525],-0.08846389545947773,[-0.46572074 -0.0021786 ]
512,[-0.46572074 -0.0021786 ],[0.385624],-0.014870586281222488,[-0.4677528  -0.00203207]
513,[-0.4677528  -0.00203207],[0.17932053],-0.0032155852157879973,[-0.4699328  -0.00217998]
514,[-0.4699328  -0.00217998],[-0.1895918],-0.0035945048809460367,[-0.47279793 -0.00286513]
515,[-0.47279793 -0.00286513],[0.6521681],-0.0425323224281815,[-0.47506434 -0.00226641]
516,[-0.47506434 -0.00226641],[0.49903467],-0.02490356048318043,[-0.47694492 -0.00188058]
517,[-0.47694492 -0.00188058],[0.8897393],-0.0791635977439512,[-0.47783965 -0.00089473]
518,[-0.47783965 -0.00089473],[-0.92832875],-0.08617942727510695,[-0.480469   -0.00262934]
519,[-0.480469   -0.00262934],[0.605097],-0.03661423743631396,[-0.48251325 -0.00204427]
520,[-0.48251325 -0.00204427],[-0.24262796],-0.0058868328635146355,[-0.48522884 -0.00271557]
521,[-0.48522884 -0.00271557],[0.9808141],-0.09619962974088736,[-0.48676032 -0.00153149]
522,[-0.48676032 -0.00153149],[0.9402222],-0.08840177923897877,[-4.8715720e-01 -3.9688527e-04]
523,[-4.8715720e-01 -3.9688527e-04],[0.2764097],-0.007640231429997257,[-4.8741224e-01 -2.5503847e-04]
