,s,a,r,s1
0,[-0.48729914  0.        ],[0.08626413],-0.0007441499435024979,[-5.0238657e-01 -2.9810959e-05]
1,[-5.0238657e-01 -2.9810959e-05],[0.57947046],-0.03357860089671796,[-0.5017062   0.00068041]
2,[-0.5017062   0.00068041],[-0.49807385],-0.024807755617060057,[-5.0193697e-01 -2.3077666e-04]
3,[-5.0193697e-01 -2.3077666e-04],[-0.83090717],-0.06904067185170995,[-0.50357646 -0.00163949]
4,[-0.50357646 -0.00163949],[0.7188383],-0.051672846485582014,[-0.5042878  -0.00071131]
5,[-0.5042878  -0.00071131],[0.37950045],-0.014402059056635963,[-5.0457460e-01 -2.8680713e-04]
6,[-5.0457460e-01 -2.8680713e-04],[0.6249675],-0.039058439539099155,[-0.5040665   0.00050804]
7,[-0.5040665   0.00050804],[0.87922406],-0.07730349511398914,[-0.50238603  0.00168047]
8,[-0.50238603  0.00168047],[-0.66668814],-0.044447308162617466,[-0.5018646   0.00052145]
9,[-0.5018646   0.00052145],[-0.6578843],-0.04328117518642536,[-0.5024929  -0.00062827]
10,[-0.5024929  -0.00062827],[0.09959424],-0.000991901172893961,[-0.50312996 -0.00063707]
11,[-0.50312996 -0.00063707],[-0.40704566],-0.01656861712811839,[-0.504531   -0.00140105]
12,[-0.504531   -0.00140105],[-0.59937936],-0.035925561800414486,[-0.5069741  -0.00244305]
13,[-0.5069741  -0.00244305],[0.99406725],-0.09881697008671644,[-0.5080507  -0.00107659]
14,[-0.5080507  -0.00107659],[-0.46909985],-0.022005466876574876,[-0.5099475 -0.0018968]
15,[-0.5099475 -0.0018968],[-0.38342068],-0.014701141477890279,[-0.51252174 -0.00257429]
16,[-0.51252174 -0.00257429],[0.3972587],-0.015781447388372172,[-0.51458323 -0.00206147]
17,[-0.51458323 -0.00206147],[-0.5853955],-0.03426879089412047,[-0.5175904  -0.00300717]
18,[-0.5175904  -0.00300717],[0.6289348],-0.039555898343701656,[-0.5196992  -0.00210883]
19,[-0.5196992  -0.00210883],[-0.44513193],-0.019814243308342673,[-0.522505   -0.00280577]
20,[-0.522505   -0.00280577],[0.07702143],-0.0005932300286830617,[-5.517025e-01  3.285153e-04]
21,[-5.517025e-01  3.285153e-04],[0.90022606],-0.08104069529379708,[-0.5498131   0.00188938]
22,[-0.5498131   0.00188938],[-0.00241601],-5.837105516234983e-07,[-0.5477309   0.00208216]
23,[-0.5477309   0.00208216],[0.72993076],-0.053279891216972436,[-0.54437304  0.00335789]
24,[-0.54437304  0.00335789],[-0.99500406],-0.0990033075206057,[-0.54235196  0.00202109]
25,[-0.54235196  0.00202109],[0.6487029],-0.04208154777460074,[-0.53921723  0.00313472]
26,[-0.53921723  0.00313472],[0.99431604],-0.09886643903237236,[-0.53447396  0.00474329]
27,[-0.53447396  0.00474329],[0.75741035],-0.05736704344420538,[-0.528513    0.00596096]
28,[-0.528513    0.00596096],[-0.77937794],-0.06074299691763372,[-0.52368426  0.00482874]
29,[-0.52368426  0.00482874],[-0.85681987],-0.07341402863499412,[-0.5201401   0.00354416]
30,[-0.5201401   0.00354416],[0.9629174],-0.09272098951219086,[-0.51517755  0.00496259]
31,[-0.51517755  0.00496259],[-0.95607835],-0.09140858123788896,[-0.51171225  0.00346532]
32,[-0.51171225  0.00346532],[0.03418328],-0.00011684967959894182,[-0.5082848   0.00342747]
33,[-0.5082848   0.00342747],[-0.80014527],-0.06402324506073143,[-0.50617236  0.00211243]
34,[-0.50617236  0.00211243],[0.74069023],-0.0548622018777678,[-0.50307953  0.00309283]
35,[-0.50307953  0.00309283],[-0.30116406],-0.00906997915362604,[-0.50059223  0.00248729]
36,[-0.50059223  0.00248729],[0.5980342],-0.03576449080206636,[-0.49738032  0.00321193]
37,[-0.49738032  0.00321193],[0.33264017],-0.011064948339685543,[-0.49386588  0.00351445]
38,[-0.49386588  0.00351445],[0.4774935],-0.02280000375276794,[-0.48985788  0.00400799]
39,[-0.48985788  0.00400799],[0.5994847],-0.03593818840523113,[-0.4852033   0.00465459]
40,[-0.4852033   0.00465459],[-0.59582734],-0.035501022037811934,[-0.5028404  -0.00105724]
41,[-0.5028404  -0.00105724],[0.8968055],-0.08042601493585266,[-5.0270802e-01  1.3237973e-04]
