,s,a,r,s1
0,[-0.00308077  0.00225723  0.00556519 -0.00129734],[-1.6838889],1.0,[-0.01406816  0.02816866 -0.55338562  1.28376247]
1,[-0.01406816  0.02816866 -0.55338562  1.28376247],[-0.65347046],1.0,[-0.04040969  0.08849838 -0.76388795  1.73742581]
2,[-0.04040969  0.08849838 -0.76388795  1.73742581],[-0.15440537],1.0,[-0.07189214  0.16004135 -0.81114151  1.85139203]
3,[-0.07189214  0.16004135 -0.81114151  1.85139203],[-2.8089972],1.0,[-0.12276357  0.27693163 -1.72614223  3.9652601 ]
4,[-0.00653643 -0.00202008 -0.00821168  0.00353547],[-2.719031],1.0,[-0.02494838  0.03987713 -0.90980342  2.06995256]
5,[-0.02494838  0.03987713 -0.90980342  2.06995256],[0.7070429],1.0,[-0.0564006   0.11000673 -0.66517545  1.45968677]
6,[-0.0564006   0.11000673 -0.66517545  1.45968677],[1.2313893],1.0,[-0.07486569  0.15032436 -0.26056876  0.57815194]
7,[-0.07486569  0.15032436 -0.26056876  0.57815194],[-0.59124357],1.0,[-0.08943139  0.1850676  -0.4672181   1.15663043]
8,[-0.08943139  0.1850676  -0.4672181   1.15663043],[1.6567403],1.0,[-0.09744785  0.20938967  0.06385281  0.08118154]
9,[ 0.00525617  0.0033365   0.00903777 -0.00975713],[1.3269753],1.0,[ 0.01443149 -0.0173109   0.4485555  -1.01258725]
10,[ 0.01443149 -0.0173109   0.4485555  -1.01258725],[-2.526083],1.0,[ 0.01545293 -0.01802862 -0.39442846  0.94900676]
11,[ 0.01545293 -0.01802862 -0.39442846  0.94900676],[-1.0082313],1.0,[-0.00685016  0.03377305 -0.72053799  1.64133844]
12,[-0.00685016  0.03377305 -0.72053799  1.64133844],[0.9069974],1.0,[-0.02946423  0.08413764 -0.41240006  0.89796541]
13,[-0.02946423  0.08413764 -0.41240006  0.89796541],[-2.3980966],1.0,[-0.06188908  0.15731159 -1.20582802  2.74296896]
14,[-0.06188908  0.15731159 -1.20582802  2.74296896],[-1.975288],1.0,[-0.12283505  0.29594655 -1.83677662  4.17622403]
15,[ 0.00425543 -0.00603428  0.00340238  0.00751484],[-1.194115],1.0,[-0.00354106  0.01250183 -0.3921728   0.91026267]
16,[-0.00354106  0.01250183 -0.3921728   0.91026267],[0.05914881],1.0,[-0.01872655  0.04711527 -0.36787634  0.82840775]
17,[-0.01872655  0.04711527 -0.36787634  0.82840775],[-1.7854924],1.0,[-0.04527552  0.10759347 -0.95797759  2.18584227]
18,[-0.04527552  0.10759347 -0.95797759  2.18584227],[-0.7910912],1.0,[-0.08866072  0.20642974 -1.21100159  2.76277746]
19,[-0.00258923  0.00946961 -0.00216612  0.00705081],[2.8459852],1.0,[ 0.01623048 -0.0337202   0.94052465 -2.14452316]
20,[ 0.01623048 -0.0337202   0.94052465 -2.14452316],[-0.7987119],1.0,[ 0.04827034 -0.10510303  0.66398843 -1.44923323]
21,[ 0.04827034 -0.10510303  0.66398843 -1.44923323],[2.6946216],1.0,[ 0.09261003 -0.20422597  1.54869025 -3.48567699]
22,[-0.00989418 -0.00722726  0.00911819 -0.0081005 ],[-0.7704844],1.0,[-0.01464369  0.00416836 -0.24591155  0.57199667]
23,[-0.01464369  0.00416836 -0.24591155  0.57199667],[1.1735322],1.0,[-0.01660035  0.00839164  0.14657123 -0.34707641]
24,[-0.01660035  0.00839164  0.14657123 -0.34707641],[-0.94459426],1.0,[-0.01709615  0.00971891 -0.17022638  0.40317279]
25,[-0.01709615  0.00971891 -0.17022638  0.40317279],[2.936291],1.0,[-0.00433837 -0.01953636  0.80517201 -1.8401926 ]
26,[-0.00433837 -0.01953636  0.80517201 -1.8401926 ],[-1.7205652],1.0,[ 0.01618252 -0.06468575  0.22405707 -0.44662116]
27,[ 0.01618252 -0.06468575  0.22405707 -0.44662116],[1.1000669],1.0,[ 0.03251949 -0.10024108  0.59189144 -1.32494241]
28,[ 0.03251949 -0.10024108  0.59189144 -1.32494241],[-1.6027837],1.0,[ 0.0455821  -0.12935858  0.06391829 -0.15449676]
29,[ 0.0455821  -0.12935858  0.06391829 -0.15449676],[0.50817937],1.0,[ 0.05176285 -0.14599233  0.24456896 -0.67289122]
30,[ 0.05176285 -0.14599233  0.24456896 -0.67289122],[-2.5537424],1.0,[ 0.04488356 -0.13678339 -0.58614165  1.11105508]
31,[ 0.04488356 -0.13678339 -0.58614165  1.11105508],[1.4987622],1.0,[ 0.03183242 -0.1196995  -0.06853085 -0.23573936]
32,[ 0.03183242 -0.1196995  -0.06853085 -0.23573936],[1.7998213],1.0,[ 0.04123971 -0.15886615  0.53671848 -1.70693439]
33,[ 0.04123971 -0.15886615  0.53671848 -1.70693439],[-0.29495355],1.0,[ 0.06082123 -0.22400617  0.4438142  -1.56517801]
34,[ 0.00572134  0.00739854  0.00398639 -0.00193187],[-1.4964844],1.0,[-0.00409397  0.03052441 -0.49336612  1.14649408]
35,[-0.00409397  0.03052441 -0.49336612  1.14649408],[2.560594],1.0,[-0.00670113  0.036312    0.35980263 -0.82808753]
36,[-0.00670113  0.036312    0.35980263 -0.82808753],[-0.54644066],1.0,[ 0.00384629  0.01356846  0.16874801 -0.32059007]
37,[ 0.00384629  0.01356846  0.16874801 -0.32059007],[-2.876763],1.0,[-0.00862198  0.04571704 -0.78913759  1.90240319]
38,[-0.00862198  0.04571704 -0.78913759  1.90240319],[-0.77975065],1.0,[-0.04515337  0.13223333 -1.03756967  2.43072267]
39,[-0.04515337  0.13223333 -1.03756967  2.43072267],[1.9430364],1.0,[-0.07370225  0.199956   -0.39453932  0.99429788]
40,[-0.07370225  0.199956   -0.39453932  0.99429788],[-2.5215187],1.0,[-0.10624862  0.28013885 -1.22789443  2.98874101]
41,[-0.00312895  0.0040951   0.00314571 -0.00708921],[-1.0906484],1.0,[-0.01027198  0.02071141 -0.35930223  0.82939069]
42,[-0.01027198  0.02071141 -0.35930223  0.82939069],[1.960152],1.0,[-0.01153226  0.02320352  0.29388768 -0.68301674]
43,[-0.01153226  0.02320352  0.29388768 -0.68301674],[1.7029024],1.0,[ 0.01139075 -0.02878465  0.85127434 -1.90931524]
44,[ 0.01139075 -0.02878465  0.85127434 -1.90931524],[2.8079946],1.0,[ 0.06381999 -0.1461274   1.76671645 -3.94305559]
45,[ 0.06381999 -0.1461274   1.76671645 -3.94305559],[1.7639421],1.0,[ 0.1454288  -0.3272973   2.30813453 -5.10877306]
46,[-0.00510789  0.00970232 -0.00275362 -0.00486369],[-1.0818324],1.0,[-0.01243997  0.02639765 -0.36285231  0.83111298]
47,[-0.01243997  0.02639765 -0.36285231  0.83111298],[-0.8768078],1.0,[-0.03271574  0.07262831 -0.65063799  1.47980779]
48,[-0.03271574  0.07262831 -0.65063799  1.47980779],[1.6454818],1.0,[-0.04775375  0.10643331 -0.10413659  0.23594953]
49,[-0.04775375  0.10643331 -0.10413659  0.23594953],[-1.619586],1.0,[-0.06285075  0.14267294 -0.64885838  1.56247865]
50,[-0.06285075  0.14267294 -0.64885838  1.56247865],[1.4358639],1.0,[-0.07938866  0.184773   -0.18090815  0.56718938]
51,[-0.07938866  0.184773   -0.18090815  0.56718938],[1.1795889],1.0,[-0.07918586  0.19339269  0.18970511 -0.12437591]
52,[-0.07918586  0.19339269  0.18970511 -0.12437591],[1.7430321],1.0,[-0.06057094  0.16704395  0.74030499 -1.1853483 ]
53,[-0.06057094  0.16704395  0.74030499 -1.1853483 ],[1.861181],1.0,[-0.01918884  0.09696368  1.32908852 -2.32038703]
54,[-0.01918884  0.09696368  1.32908852 -2.32038703],[1.722911],1.0,[ 0.04486641 -0.01687788  1.87385484 -3.37962298]
55,[ 0.04486641 -0.01687788  1.87385484 -3.37962298],[-1.8374684],1.0,[ 0.10706569 -0.11960401  1.2408194  -1.80164733]
