,s,a,r,s1
0,[-0.00110172  0.00290828  0.00453834  0.00203501],[-2.5063288],1.0,[-0.01760065  0.04159454 -0.8270922   1.91247243]
1,[-0.01760065  0.04159454 -0.8270922   1.91247243],[0.81142616],1.0,[-0.04508382  0.10408812 -0.54943838  1.2349022 ]
2,[-0.04508382  0.10408812 -0.54943838  1.2349022 ],[1.1159229],1.0,[-0.05970731  0.13731615 -0.18384683  0.44528665]
3,[-0.05970731  0.13731615 -0.18384683  0.44528665],[1.847872],1.0,[-0.05508064  0.12980149  0.41348565 -0.80545319]
4,[-0.05508064  0.12980149  0.41348565 -0.80545319],[2.4417112],1.0,[-0.02276048  0.06454975  1.2019668  -2.45074771]
5,[-0.02276048  0.06454975  1.2019668  -2.45074771],[1.0298538],1.0,[ 0.0316543  -0.04449023  1.51935061 -3.01367368]
6,[ 0.0316543  -0.04449023  1.51935061 -3.01367368],[-0.65728587],1.0,[ 0.08763042 -0.15180213  1.28233986 -2.38260663]
7,[ 0.08763042 -0.15180213  1.28233986 -2.38260663],[-0.98541814],1.0,[ 0.13230858 -0.23243216  0.95477488 -1.6777539 ]
8,[ 0.00285979 -0.00243158 -0.00052381 -0.00972068],[-0.07617807],1.0,[ 0.00233268 -0.00165559 -0.02575757  0.04786526]
9,[ 0.00233268 -0.00165559 -0.02575757  0.04786526],[-0.30184913],1.0,[-0.00069794  0.0048323  -0.12554554  0.27463177]
10,[-0.00069794  0.0048323  -0.12554554  0.27463177],[1.1129599],1.0,[ 0.00171102 -0.00149769  0.24479102 -0.58038941]
11,[ 0.00171102 -0.00149769  0.24479102 -0.58038941],[2.5649323],1.0,[ 0.02847069 -0.06332327  1.09098432 -2.49472876]
12,[ 0.02847069 -0.06332327  1.09098432 -2.49472876],[-2.758723],1.0,[ 0.05353483 -0.11903727  0.16742805 -0.33600344]
13,[ 0.05353483 -0.11903727  0.16742805 -0.33600344],[-1.4440634],1.0,[ 0.05087483 -0.11280832 -0.29908764  0.6353046 ]
14,[ 0.05087483 -0.11280832 -0.29908764  0.6353046 ],[-1.0191337],1.0,[ 0.03249214 -0.07528184 -0.61995777  1.24069672]
15,[ 0.03249214 -0.07528184 -0.61995777  1.24069672],[1.8683754],1.0,[ 0.02046393 -0.05764652  0.01594761 -0.33401906]
16,[ 0.02046393 -0.05764652  0.01594761 -0.33401906],[2.395615],1.0,[ 0.03709247 -0.10854193  0.81288214 -2.19189905]
17,[ 0.03709247 -0.10854193  0.81288214 -2.19189905],[2.8427618],1.0,[ 0.08818957 -0.23844878  1.73622606 -4.28023533]
18,[0.00332372 0.0081363  0.00468252 0.00533883],[-0.13325681],1.0,[ 0.00260272  0.0106201  -0.04060746  0.11777015]
19,[ 0.00260272  0.0106201  -0.04060746  0.11777015],[1.2892784],1.0,[ 0.00954383 -0.00434499  0.38644418 -0.85535599]
20,[ 0.00954383 -0.00434499  0.38644418 -0.85535599],[1.6877006],1.0,[ 0.0360975  -0.06338788  0.94015046 -2.09007343]
21,[ 0.0360975  -0.06338788  0.94015046 -2.09007343],[-2.799338],1.0,[ 0.05492403 -0.10282392  0.00583264  0.07755836]
22,[ 0.05492403 -0.10282392  0.00583264  0.07755836],[-0.35161132],1.0,[ 0.0530614  -0.09681156 -0.09884087  0.22221075]
23,[ 0.0530614  -0.09681156 -0.09884087  0.22221075],[-2.929475],1.0,[ 0.02990192 -0.04566667 -1.05742089  2.31846853]
24,[ 0.02990192 -0.04566667 -1.05742089  2.31846853],[-2.2185454],1.0,[-0.02669446  0.07700653 -1.77117621  3.81509046]
25,[-0.02669446  0.07700653 -1.77117621  3.81509046],[-0.00014984],1.0,[-0.09695735  0.22593437 -1.74351837  3.6593673 ]
26,[-0.00285546 -0.00155781 -0.00025342  0.00627965],[0.5895409],1.0,[ 0.00105657 -0.01036999  0.19532688 -0.44233403]
27,[ 0.00105657 -0.01036999  0.19532688 -0.44233403],[0.7066876],1.0,[ 0.01352164 -0.0385289   0.42761902 -0.96373603]
28,[ 0.01352164 -0.0385289   0.42761902 -0.96373603],[-2.4061563],1.0,[ 0.01456461 -0.03973419 -0.37258515  0.8773491 ]
29,[ 0.01456461 -0.03973419 -0.37258515  0.8773491 ],[2.4613938],1.0,[ 0.01624737 -0.0444824   0.45375173 -1.08801021]
30,[ 0.01624737 -0.0444824   0.45375173 -1.08801021],[0.78855926],1.0,[ 0.03956005 -0.09960947  0.71176106 -1.67006932]
31,[ 0.03956005 -0.09960947  0.71176106 -1.67006932],[-1.5157986],1.0,[ 0.05793615 -0.14338245  0.21006542 -0.54504955]
32,[ 0.05793615 -0.14338245  0.21006542 -0.54504955],[-0.13339935],1.0,[ 0.06568737 -0.16571883  0.17788614 -0.57579255]
33,[ 0.06568737 -0.16571883  0.17788614 -0.57579255],[0.13613032],1.0,[ 0.07397384 -0.19380637  0.23649731 -0.8302115 ]
34,[ 0.07397384 -0.19380637  0.23649731 -0.8302115 ],[0.82870954],1.0,[ 0.08915919 -0.24259813  0.52181845 -1.60528963]
35,[-0.00989431  0.00990512 -0.00391251 -0.00357846],[2.5310924],1.0,[ 0.00675899 -0.02884933  0.83428108 -1.91477028]
36,[ 0.00675899 -0.02884933  0.83428108 -1.91477028],[2.0491848],1.0,[ 0.0534788  -0.13481846  1.49979413 -3.37806953]
37,[ 0.0534788  -0.13481846  1.49979413 -3.37806953],[-2.6843283],1.0,[ 0.09543389 -0.22797279  0.60520994 -1.33763214]
38,[0.0062118  0.00475218 0.00190798 0.00758105],[1.3423243],1.0,[ 0.01520344 -0.01542749  0.44647824 -1.00630429]
39,[ 0.01520344 -0.01542749  0.44647824 -1.00630429],[-0.98250806],1.0,[ 0.02640444 -0.03956481  0.11529133 -0.21660824]
40,[ 0.02640444 -0.03956481  0.11529133 -0.21660824],[0.30536926],1.0,[ 0.03309751 -0.053506    0.21921463 -0.47948548]
41,[ 0.03309751 -0.053506    0.21921463 -0.47948548],[-0.48303536],1.0,[ 0.03869895 -0.06584918  0.06163964 -0.14492744]
42,[ 0.03869895 -0.06584918  0.06163964 -0.14492744],[0.19763204],1.0,[ 0.04260028 -0.07597493  0.13328843 -0.36032721]
43,[ 0.04260028 -0.07597493  0.13328843 -0.36032721],[1.2349523],1.0,[ 0.0562403  -0.11050311  0.54756244 -1.35779699]
44,[ 0.0562403  -0.11050311  0.54756244 -1.35779699],[0.8013641],1.0,[ 0.08345652 -0.17761397  0.8128789  -1.99943893]
45,[ 0.08345652 -0.17761397  0.8128789  -1.99943893],[-1.768334],1.0,[ 0.10438249 -0.23254808  0.23735354 -0.77978971]
46,[-0.0012387   0.00561654 -0.00128195  0.00041459],[-0.5331513],1.0,[-0.00485279  0.01399358 -0.17893984  0.41427968]
47,[-0.00485279  0.01399358 -0.17893984  0.41427968],[-1.7133735],1.0,[-0.02337534  0.05668114 -0.74578979  1.70956966]
48,[-0.02337534  0.05668114 -0.74578979  1.70956966],[-2.5163379],1.0,[-0.06972456  0.16243095 -1.56838448  3.56344451]
49,[-0.06972456  0.16243095 -1.56838448  3.56344451],[-2.706687],1.0,[-0.14964933  0.34313152 -2.41827817  5.44224878]
50,[ 0.00314397  0.00738758 -0.00160987  0.009455  ],[-0.984244],1.0,[-0.00348647  0.02308532 -0.32902125  0.76783173]
51,[-0.00348647  0.02308532 -0.32902125  0.76783173],[-1.1786009],1.0,[-0.02441863  0.0714269  -0.71692193  1.6456283 ]
52,[-0.02441863  0.0714269  -0.71692193  1.6456283 ],[2.4908638],1.0,[-0.03646947  0.09870491  0.11056235 -0.24812895]
53,[-0.03646947  0.09870491  0.11056235 -0.24812895],[-2.4763234],1.0,[-0.04872686  0.1291577  -0.72037009  1.74641171]
54,[-0.04872686  0.1291577  -0.72037009  1.74641171],[1.082948],1.0,[-0.07038372  0.18331331 -0.36513213  0.98486956]
55,[-0.07038372  0.18331331 -0.36513213  0.98486956],[-0.86599654],1.0,[-0.09091395  0.23847592 -0.66041594  1.76983367]
56,[ 0.00752236 -0.00963421 -0.0058532  -0.0087996 ],[-1.445205],1.0,[-0.0023078   0.01204196 -0.48436873  1.08157272]
57,[-0.0023078   0.01204196 -0.48436873  1.08157272],[-1.4411526],1.0,[-0.03112375  0.07628196 -0.95563988  2.12704111]
58,[-0.03112375  0.07628196 -0.95563988  2.12704111],[2.0795503],1.0,[-0.05538401  0.12858991 -0.26149748  0.52417248]
59,[-0.05538401  0.12858991 -0.26149748  0.52417248],[-2.02914],1.0,[-0.07945212  0.18250218 -0.93923604  2.15426459]
60,[-0.07945212  0.18250218 -0.93923604  2.15426459],[-0.5417843],1.0,[-0.12054685  0.27781333 -1.11529211  2.6187354 ]
61,[-0.00048289  0.00144056 -0.00086146  0.00861521],[1.0372188],1.0,[ 0.00637627 -0.01408937  0.34289248 -0.77714091]
62,[ 0.00637627 -0.01408937  0.34289248 -0.77714091],[1.2855294],1.0,[ 0.02854722 -0.06415668  0.76493539 -1.72209873]
63,[ 0.02854722 -0.06415668  0.76493539 -1.72209873],[0.61343896],1.0,[ 0.06306413 -0.14149306  0.96119202 -2.15213328]
64,[ 0.06306413 -0.14149306  0.96119202 -2.15213328],[2.3300052],1.0,[ 0.11672159 -0.2625615   1.71693832 -3.88357411]
65,[-0.00543242  0.00170416  0.00543392 -0.00715653],[-1.5349588],1.0,[-0.01543403  0.0250883  -0.50410738  1.16440533]
66,[-0.01543403  0.0250883  -0.50410738  1.16440533],[1.5165539],1.0,[-0.02539609  0.04745627  0.00365372 -0.02450894]
67,[-0.02539609  0.04745627  0.00365372 -0.02450894],[-0.7525308],1.0,[-0.03036618  0.05919189 -0.25138554  0.60467064]
68,[-0.03036618  0.05919189 -0.25138554  0.60467064],[-1.7951354],1.0,[-0.05238013  0.1114297  -0.8475696   1.99563989]
69,[-0.05238013  0.1114297  -0.8475696   1.99563989],[1.5257467],1.0,[-0.07610655  0.16804694 -0.34222338  0.86526501]
70,[-0.07610655  0.16804694 -0.34222338  0.86526501],[-1.3972952],1.0,[-0.09921451  0.22624403 -0.81130865  2.0348027 ]
71,[-0.00863896  0.00512984 -0.0045004   0.00568092],[-0.18809],1.0,[-0.01008455  0.00839776 -0.06760974  0.15625204]
72,[-0.01008455  0.00839776 -0.06760974  0.15625204],[2.0048873],1.0,[ 5.48264889e-04 -1.61279152e-02  5.97347274e-01 -1.36600319e+00]
73,[ 5.48264889e-04 -1.61279152e-02  5.97347274e-01 -1.36600319e+00],[2.8527842],1.0,[ 0.04321018 -0.11299011  1.53281237 -3.46118493]
74,[ 0.04321018 -0.11299011  1.53281237 -3.46118493],[0.10558924],1.0,[ 0.10476179 -0.25057912  1.546012   -3.44200173]
75,[-0.0016389   0.00161662 -0.00114682  0.00232231],[-0.09217568],1.0,[-0.00230501  0.00319932 -0.03207552  0.07609311]
76,[-0.00230501  0.00319932 -0.03207552  0.07609311],[1.9206387],1.0,[ 0.0091883  -0.02325324  0.60495057 -1.38336124]
77,[ 0.0091883  -0.02325324  0.60495057 -1.38336124],[0.210121],1.0,[ 0.03461359 -0.08044894  0.66712257 -1.48596292]
78,[ 0.03461359 -0.08044894  0.66712257 -1.48596292],[-2.2714736],1.0,[ 0.04616877 -0.10505575 -0.08592929  0.22534478]
79,[ 0.04616877 -0.10505575 -0.08592929  0.22534478],[-1.2878133],1.0,[ 0.03445153 -0.07910137 -0.49926829  1.06642927]
80,[ 0.03445153 -0.07910137 -0.49926829  1.06642927],[0.8660722],1.0,[ 0.02056915 -0.05292834 -0.19645878  0.2582208 ]
81,[ 0.02056915 -0.05292834 -0.19645878  0.2582208 ],[-0.39351198],1.0,[ 0.01025522 -0.03811714 -0.319174    0.48216506]
82,[ 0.01025522 -0.03811714 -0.319174    0.48216506],[-0.01691936],1.0,[-0.00246167 -0.02008144 -0.31709141  0.42398479]
83,[-0.00246167 -0.02008144 -0.31709141  0.42398479],[0.51597416],1.0,[-0.01159829 -0.0120651  -0.14056433 -0.01543478]
84,[-0.01159829 -0.0120651  -0.14056433 -0.01543478],[1.6678804],1.0,[-0.00609647 -0.03854697  0.41410587 -1.29564881]
85,[-0.00609647 -0.03854697  0.41410587 -1.29564881],[-2.5840116],1.0,[-0.00681586 -0.0498903  -0.44668778  0.69787958]
86,[-0.00681586 -0.0498903  -0.44668778  0.69787958],[1.9493915],1.0,[-0.01149934 -0.05395769  0.21013655 -0.8798322 ]
87,[-0.01149934 -0.05395769  0.21013655 -0.8798322 ],[-1.6621609],1.0,[-0.01414468 -0.06375334 -0.34021548  0.3702875 ]
88,[-0.01414468 -0.06375334 -0.34021548  0.3702875 ],[1.4391327],1.0,[-0.01798253 -0.07295673  0.14662034 -0.81542843]
89,[-0.01798253 -0.07295673  0.14662034 -0.81542843],[-0.4783709],1.0,[-0.01524674 -0.09885838 -0.00877125 -0.48962436]
90,[-0.01524674 -0.09885838 -0.00877125 -0.48962436],[-0.8064743],1.0,[-0.02078829 -0.10779305 -0.2672708   0.03357112]
91,[-0.02078829 -0.10779305 -0.2672708   0.03357112],[-0.3685394],1.0,[-0.03366282 -0.10338756 -0.3762891   0.18542685]
92,[-0.03366282 -0.10338756 -0.3762891   0.18542685],[2.7010205],1.0,[-0.03053663 -0.13973933  0.529184   -1.97660809]
93,[-0.03053663 -0.13973933  0.529184   -1.97660809],[-0.26329523],1.0,[-0.01113498 -0.21532351  0.44251381 -1.81985163]
94,[ 0.00118818 -0.00434468 -0.00519118 -0.00060851],[2.1723092],1.0,[ 0.0154359  -0.03780318  0.71554817 -1.65532369]
95,[ 0.0154359  -0.03780318  0.71554817 -1.65532369],[1.7220418],1.0,[ 0.05529957 -0.12894988  1.27627513 -2.89826709]
96,[ 0.05529957 -0.12894988  1.27627513 -2.89826709],[-2.945328],1.0,[ 0.08667489 -0.19945213  0.29913729 -0.68046176]
97,[ 0.08667489 -0.19945213  0.29913729 -0.68046176],[-0.78365195],1.0,[ 0.0938136  -0.21864587  0.05891546 -0.28912243]
98,[-6.51930786e-03 -4.08340244e-05  8.95145419e-03  7.81381675e-03],[1.9692453],1.0,[ 0.00693433 -0.02995316  0.66192326 -1.48813947]
99,[ 0.00693433 -0.02995316  0.66192326 -1.48813947],[-0.09320583],1.0,[ 0.03261888 -0.08669811  0.62351947 -1.36202448]
100,[ 0.03261888 -0.08669811  0.62351947 -1.36202448],[0.92507964],1.0,[ 0.06364824 -0.15535865  0.92751193 -2.07211105]
101,[ 0.06364824 -0.15535865  0.92751193 -2.07211105],[-0.5352028],1.0,[ 0.0971822  -0.23086749  0.75133037 -1.72427796]
