,s,a,r,s1
0,[ 0.5820089  -0.8131824   0.82640797],[1.5371403],-8.859093386913713,[-0.98657197 -0.1633272  -0.03703241]
1,[-0.98657197 -0.1633272  -0.03703241],[0.64229465],-8.86623728682211,[-0.987083   -0.16020963 -0.06318361]
2,[-0.987083   -0.16020963 -0.06318361],[-0.43080905],-8.885095510613564,[-0.9889934  -0.14795966 -0.24796219]
3,[-0.9889934  -0.14795966 -0.24796219],[1.8074385],-8.96798960135483,[-0.9896335  -0.14361577 -0.08781616]
4,[-0.9896335  -0.14361577 -0.08781616],[-0.8406181],-8.986355476385166,[-0.991815   -0.12768355 -0.3216207 ]
5,[-0.991815   -0.12768355 -0.3216207 ],[-0.8412164],-2.0272818014210694,[0.10379416 0.9945988  0.9379723 ]
6,[0.10379416 0.9945988  0.9379723 ],[1.0043195],-2.2405337794082834,[0.01225267 0.99992496 1.8345693 ]
7,[0.01225267 0.99992496 1.8345693 ],[1.1076483],-2.7668487484580866,[-0.12495258  0.9921627   2.7506602 ]
8,[-0.12495258  0.9921627   2.7506602 ],[1.596782],-3.63583797410773,[-0.30695796  0.9517231   3.7342997 ]
9,[-0.30695796  0.9517231   3.7342997 ],[0.03443804],-4.939403832712011,[-0.5095467  0.860443   4.4532576]
10,[-0.5095467  0.860443   4.4532576],[0.57110524],-7.7977445775664425,[-0.9517432  -0.30689567 -0.97034186]
11,[-0.9517432  -0.30689567 -0.97034186],[-1.3365022],-8.102935726433204,[-0.97088933 -0.23952845 -1.4009889 ]
12,[-0.97088933 -0.23952845 -1.4009889 ],[-0.7737238],-8.605208389764396,[-0.98769367 -0.15640068 -1.6966938 ]
13,[-0.98769367 -0.15640068 -1.6966938 ],[1.6660519],-9.198174822849232,[-0.99689364 -0.07875945 -1.5640866 ]
14,[-0.99689364 -0.07875945 -1.5640866 ],[-1.7475171],-9.628137528076538,[-0.9998811   0.01542247 -1.8852837 ]
15,[-0.9998811   0.01542247 -1.8852837 ],[-1.1121638],-0.3609299063203186,[ 0.88130707  0.47254398 -0.6953334 ]
16,[ 0.88130707  0.47254398 -0.6953334 ],[-0.9727353],-0.29153147133509466,[ 0.8925474   0.45095354 -0.48683575]
17,[ 0.8925474   0.45095354 -0.48683575],[-0.3022007],-0.24266030282549805,[ 0.89687854  0.44227695 -0.1939507 ]
18,[ 0.89687854  0.44227695 -0.1939507 ],[-0.9716032],-0.21459415504783555,[ 0.89705503  0.4419189  -0.00798346]
19,[ 0.89705503  0.4419189  -0.00798346],[-0.68642926],-0.2100004223690109,[0.89212865 0.4517815  0.22049133]
20,[0.89212865 0.4517815  0.22049133],[-0.41700444],-3.209871945793978,[-0.25295764 -0.9674774  -0.7039534 ]
21,[-0.25295764 -0.9674774  -0.7039534 ],[0.15359613],-3.3857993875849783,[-0.3203152  -0.94731104 -1.406522  ]
22,[-0.3203152  -0.94731104 -1.406522  ],[0.84169704],-3.796611192465532,[-0.4128671 -0.9107913 -1.9907507]
23,[-0.4128671 -0.9107913 -1.9907507],[1.1739173],-4.383284216202755,[-0.5231028 -0.8522696 -2.4977565]
24,[-0.5231028 -0.8522696 -2.4977565],[-1.122153],-5.124983428283197,[-0.6561848 -0.7546002 -3.3052816]
25,[-0.6561848 -0.7546002 -3.3052816],[-0.91706157],-2.1928530957959023,[ 0.07409064 -0.9972515  -0.44961905]
26,[ 0.07409064 -0.9972515  -0.44961905],[-1.5883324],-2.2626630370472296,[ 0.00236821 -0.9999972  -1.4358076 ]
27,[ 0.00236821 -0.9999972  -1.4358076 ],[-0.04231678],-2.6661228599109075,[-0.10703401 -0.99425536 -2.192153  ]
28,[-0.10703401 -0.99425536 -2.192153  ],[0.55453944],-3.2966649779017128,[-0.24737743 -0.9689192  -2.8546636 ]
29,[-0.24737743 -0.9689192  -2.8546636 ],[-0.9945964],-4.1310991433226185,[-0.42277   -0.906237  -3.7305424]
30,[-0.42277   -0.906237  -3.7305424],[0.67837393],-6.4535934759146825,[-0.8309428  -0.55635786 -0.2293202 ]
