,s,a,r,s1
0,[ 0.9708398 -0.23972927  0.71846646],[-1.4238847],-5.07325635137213,[-0.6757164 -0.7371617 -1.3513536]
1,[-0.6757164 -0.7371617 -1.3513536],[-0.8795907],-5.532120481790178,[-0.747137   -0.66467005 -2.0361636 ]
2,[-0.747137   -0.66467005 -2.0361636 ],[1.2335262],-6.246123949225777,[-0.81989413 -0.57251513 -2.349637  ]
3,[-0.81989413 -0.57251513 -2.349637  ],[-1.4985904],-6.965462797687305,[-0.89632773 -0.44339213 -3.003812  ]
4,[-0.89632773 -0.44339213 -3.003812  ],[-1.2806114],-8.098195354782046,[-0.960234  -0.2791965 -3.5284479]
5,[-0.960234  -0.2791965 -3.5284479],[0.34067738],-9.416906924869487,[-0.99514097 -0.09846027 -3.6867435 ]
6,[-0.99514097 -0.09846027 -3.6867435 ],[-0.64624834],-10.619307705601488,[-0.9955612   0.09411675 -3.857526  ]
7,[-0.9955612   0.09411675 -3.857526  ],[-0.3339957],-10.774421444236397,[-0.9593495   0.28222072 -3.8370378 ]
8,[-0.9593495   0.28222072 -3.8370378 ],[-0.8036156],-9.626723548051963,[-0.89002156  0.45591843 -3.7459147 ]
9,[-0.89002156  0.45591843 -3.7459147 ],[0.09786309],-8.52242860640519,[-0.8003793  0.5994939 -3.3892963]
10,[-0.8003793  0.5994939 -3.3892963],[-0.13122986],-7.392371645994414,[-0.7032507  0.7109419 -2.9593604]
11,[-0.7032507  0.7109419 -2.9593604],[-0.41367066],-6.402006018949802,[-0.6095948   0.79271317 -2.4882045 ]
12,[-0.6095948   0.79271317 -2.4882045 ],[1.1571519],-5.577070434125538,[-0.5392485   0.84214664 -1.7200968 ]
13,[-0.5392485   0.84214664 -1.7200968 ],[-0.84222895],-4.877641736642494,[-0.48713264  0.873328   -1.2148212 ]
14,[-0.48713264  0.873328   -1.2148212 ],[-0.17717409],-4.472345836497716,[-0.4613209   0.8872334  -0.58640134]
15,[-0.4613209   0.8872334  -0.58640134],[1.0361179],-4.239107234511435,[-0.4716892   0.8817649   0.23444135]
16,[-0.4716892   0.8817649   0.23444135],[1.3377248],-4.259137268366935,[-0.51929575  0.8545946   1.0964237 ]
17,[-0.51929575  0.8545946   1.0964237 ],[-1.2981749],-4.602839383931366,[-0.5836032  0.812039   1.5426434]
18,[-0.5836032  0.812039   1.5426434],[-0.9630388],-5.052341639864834,[-0.6620267   0.74948025  2.007217  ]
19,[-0.6620267   0.74948025  2.007217  ],[-0.28406036],-5.666858652368873,[-0.7511851   0.66009164  2.526718  ]
20,[-0.7511851   0.66009164  2.526718  ],[0.388301],-6.498136893168288,[-0.8435488  0.5370526  3.0800319]
21,[-0.8435488  0.5370526  3.0800319],[-1.3675311],-7.579370510436686,[-0.9198672   0.39222994  3.2776916 ]
22,[-0.9198672   0.39222994  3.2776916 ],[-0.6794397],-8.574378824738954,[-0.9737673  0.2275463  3.4699483]
23,[-0.9737673  0.2275463  3.4699483],[1.3004147],-9.685695909479188,[-0.99928665  0.03776466  3.83567   ]
24,[-0.99928665  0.03776466  3.83567   ],[1.9763583],-11.108834976553375,[-0.98554265 -0.16942748  4.160447  ]
25,[-0.98554265 -0.16942748  4.160447  ],[-1.9965587],-10.563803190976648,[-0.9369692 -0.3494119  3.733893 ]
26,[-0.9369692 -0.3494119  3.733893 ],[-0.903224],-9.149283070852276,[-0.8659443  -0.50014037  3.3363504 ]
27,[-0.8659443  -0.50014037  3.3363504 ],[-0.73962736],-7.966713574572193,[-0.7861288 -0.6180627  2.850301 ]
28,[-0.7861288 -0.6180627  2.850301 ],[-1.1404389],-6.940914996416259,[-0.7129779  -0.70118654  2.2156882 ]
29,[-0.7129779  -0.70118654  2.2156882 ],[-0.10214476],-6.081950838465092,[-0.651843   -0.75835395  1.6744765 ]
30,[-0.651843   -0.75835395  1.6744765 ],[-0.46418485],-5.482689933293236,[-0.6117002  -0.79108965  1.0360833 ]
31,[-0.6117002  -0.79108965  1.0360833 ],[-0.5066171],-5.076063736703576,[-0.5970906  -0.8021738   0.36677352]
32,[-0.5970906  -0.8021738   0.36677352],[1.6525645],-4.9032257934026084,[-0.5965679  -0.8025626   0.01302783]
33,[-0.5965679  -0.8025626   0.01302783],[1.99671],-4.888166772779337,[-0.6081177 -0.7938469 -0.2893876]
34,[-0.6081177 -0.7938469 -0.2893876],[-1.256892],-4.958281681187787,[-0.64982384 -0.76008487 -1.0733066 ]
35,[-0.64982384 -0.76008487 -1.0733066 ],[0.9595328],-5.30608204239915,[-0.7049301  -0.70927674 -1.4994403 ]
36,[-0.7049301  -0.70927674 -1.4994403 ],[-1.343638],-5.763815760495718,[-0.7795655  -0.62632066 -2.2329435 ]
37,[-0.7795655  -0.62632066 -2.2329435 ],[-0.08207375],-6.573692422895193,[-0.8571556 -0.5150575 -2.7149951]
38,[-0.8571556 -0.5150575 -2.7149951],[0.77800876],-7.500418492935383,[-0.9242059 -0.3818946 -2.984587 ]
